KEY,CODE_ID,PRICETYPE_ID,TIMESTAMP_ID,名称,类型,类别,QUOTE_ID,PRICEREPORTITEMID,FORWARD_PERIOD,FORWARD_YEAR,UNIT_ID1,UNIT_ID2
33030|5|9,33030,5,9,代码 33030（PT5/TS9）,日,其他,330300901,0,2026,2026,3,44
4251|4|0,4251,4,0,"ICI 1（印尼 6,500 GAR，周）",周,煤炭,42510000,0,32,2026,3,44
45498|8|6,45498,8,6,代码 45498（PT8/TS6）,日,其他,454980600,0,0,2026,3,44
45497|8|6,45497,8,6,代码 45497（PT8/TS6）,日,其他,454970600,0,0,2026,3,44
45496|8|6,45496,8,6,代码 45496（PT8/TS6）,日,其他,454960600,0,0,2026,3,44
45495|8|0,45495,8,0,代码 45495（PT8/TS0）,周,其他,454950000,0,0,2026,3,44
45494|8|0,45494,8,0,代码 45494（PT8/TS0）,周,其他,454940000,0,0,2026,3,44
45493|8|0,45493,8,0,代码 45493（PT8/TS0）,周,其他,454930000,0,0,2026,3,44
45492|8|0,45492,8,0,代码 45492（PT8/TS0）,周,其他,454920000,0,0,2026,3,44
45491|8|0,45491,8,0,代码 45491（PT8/TS0）,周,其他,454910000,0,0,2026,3,44
45499|8|6,45499,8,6,代码 45499（PT8/TS6）,日,其他,454990600,0,0,2026,3,44
9546|8|6,9546,8,6,"Argus ICI 5 日度（印尼 3,400 GAR）",日,煤炭,95460600,0,0,2026,3,44
41769|3|6,41769,3,6,代码 41769（PT3/TS6）,日,其他,417690600,0,0,2026,3,44
41769|8|6,41769,8,6,代码 41769（PT8/TS6）,日,其他,417690600,0,0,2026,3,44
5485|8|6,5485,8,6,"Argus ICI 4 日度（印尼 4,200 GAR）",日,煤炭,54850600,0,0,2026,3,44
4112|8|6,4112,8,6,"Argus ICI 3 日度（印尼 5,000 GAR）",日,煤炭,41120600,0,0,2026,3,44
3090|8|6,3090,8,6,"Argus ICI 2 日度（印尼 5,800 GAR）",日,煤炭,30900600,0,0,2026,3,44
2587|8|6,2587,8,6,"Argus ICI 1 日度（印尼 6,500 GAR）",日,煤炭,25870600,0,0,2026,3,44
9543|4|0,9543,4,0,"ICI 5（印尼 3,400 GAR，周）",周,煤炭,95430000,0,32,2026,3,44
5483|4|0,5483,4,0,"ICI 4（印尼 4,200 GAR，周）",周,煤炭,54830000,0,32,2026,3,44
4253|4|0,4253,4,0,"ICI 3（印尼 5,000 GAR，周）",周,煤炭,42530000,0,32,2026,3,44
4252|4|0,4252,4,0,"ICI 2（印尼 5,800 GAR，周）",周,煤炭,42520000,0,32,2026,3,44
45500|8|6,45500,8,6,代码 45500（PT8/TS6）,日,其他,455000600,0,0,2026,3,44
10632|4|0,10632,4,0,"API 5 指数（周，fob 纽卡斯尔 5,500）",周,煤炭,106320000,0,32,2026,3,44
29037|8|6,29037,8,6,代码 29037（PT8/TS6）,日,其他,290370600,0,0,2026,3,44
29036|8|6,29036,8,6,代码 29036（PT8/TS6）,日,其他,290360600,0,0,2026,3,44
33303|8|6,33303,8,6,代码 33303（PT8/TS6）,日,其他,333030600,0,0,2026,3,44
32883|8|6,32883,8,6,代码 32883（PT8/TS6）,日,其他,328830600,0,0,2026,3,44
6642|8|6,6642,8,6,秦皇岛内贸 fob（周均价）,日,煤炭,66420600,0,0,2026,3,44
2584|8|6,2584,8,6,代码 2584（PT8/TS6）,日,其他,25840600,0,0,2026,3,44
2583|8|6,2583,8,6,代码 2583（PT8/TS6）,日,其他,25830600,0,0,2026,3,44
13231|8|6,13231,8,6,代码 13231（PT8/TS6）,日,其他,132310600,0,0,2026,3,44
13230|8|6,13230,8,6,代码 13230（PT8/TS6）,日,其他,132300600,0,0,2026,3,44
13229|8|6,13229,8,6,代码 13229（PT8/TS6）,日,其他,132290600,0,0,2026,3,44
8803|8|6,8803,8,6,"华南 CFR 5,500 kcal（周均价）",日,煤炭,88030600,0,0,2026,3,44
9852|8|6,9852,8,6,"纽卡斯尔 5,500 kcal fob（周均价）",日,煤炭,98520600,0,0,2026,3,44
2586|8|6,2586,8,6,"纽卡斯尔 6,000 kcal fob（周均价）",日,煤炭,25860600,0,0,2026,3,44
13892|4|0,13892,4,0,"API 12 指数（周，cfr 印度 5,500）",周,煤炭,138920000,0,32,2026,3,44
10633|4|0,10633,4,0,"API 8 指数（周，cfr 华南 5,500）",周,煤炭,106330000,0,32,2026,3,44
3076|4|0,3076,4,0,"API 6 指数（周，fob 纽卡斯尔 6,000）",周,煤炭,30760000,0,32,2026,3,44
29038|8|6,29038,8,6,代码 29038（PT8/TS6）,日,其他,290380600,0,0,2026,3,44
29039|8|6,29039,8,6,代码 29039（PT8/TS6）,日,其他,290390600,0,0,2026,3,44
40601|4|0,40601,4,0,代码 40601（PT4/TS0）,周,其他,406010001,0,7,2026,3,44
40613|4|0,40613,4,0,代码 40613（PT4/TS0）,周,其他,406130001,0,7,2026,3,44
40614|4|0,40614,4,0,代码 40614（PT4/TS0）,周,其他,406140001,0,7,2026,3,44
40611|17|0,40611,17,0,代码 40611（PT17/TS0）,周,其他,406110001,0,7,2026,3,44
40612|4|0,40612,4,0,代码 40612（PT4/TS0）,周,其他,406120001,0,7,2026,3,44
40617|8|0,40617,8,0,代码 40617（PT8/TS0）,周,其他,406170001,0,7,2026,3,44
40618|8|0,40618,8,0,代码 40618（PT8/TS0）,周,其他,406180001,0,7,2026,3,44
40615|8|0,40615,8,0,代码 40615（PT8/TS0）,周,其他,406150001,0,7,2026,3,44
40616|8|0,40616,8,0,代码 40616（PT8/TS0）,周,其他,406160001,0,7,2026,3,44
40610|17|0,40610,17,0,代码 40610（PT17/TS0）,周,其他,406100001,0,7,2026,3,44
40604|8|0,40604,8,0,代码 40604（PT8/TS0）,周,其他,406040001,0,7,2026,3,44
40605|17|0,40605,17,0,代码 40605（PT17/TS0）,周,其他,406050001,0,7,2026,3,44
40602|4|0,40602,4,0,代码 40602（PT4/TS0）,周,其他,406020001,0,7,2026,3,44
40603|17|0,40603,17,0,代码 40603（PT17/TS0）,周,其他,406030001,0,7,2026,3,44
40608|8|0,40608,8,0,代码 40608（PT8/TS0）,周,其他,406080001,0,7,2026,3,44
40609|17|0,40609,17,0,代码 40609（PT17/TS0）,周,其他,406090001,0,7,2026,3,44
40606|8|0,40606,8,0,代码 40606（PT8/TS0）,周,其他,406060001,0,7,2026,3,44
40607|17|0,40607,17,0,代码 40607（PT17/TS0）,周,其他,406070001,0,7,2026,3,44
47332|8|26,47332,8,26,代码 47332（PT8/TS26）,日,其他,473322600,0,0,2026,3,44
7773|4|0,7773,4,0,"API 2 指数（日，cif ARA 6,000）",周,煤炭,77730000,0,0,2026,3,44
15146|8|6,15146,8,6,代码 15146（PT8/TS6）,日,其他,151460601,0,2027,2027,3,44
4414|8|0,4414,8,0,代码 4414（PT8/TS0）,周,其他,44140000,0,0,2026,3,44
4415|8|0,4415,8,0,代码 4415（PT8/TS0）,周,其他,44150000,0,0,2026,3,44
4418|8|0,4418,8,0,代码 4418（PT8/TS0）,周,其他,44180000,0,0,2026,3,44
4420|8|0,4420,8,0,代码 4420（PT8/TS0）,周,其他,44200000,0,0,2026,3,44
4421|8|0,4421,8,0,代码 4421（PT8/TS0）,周,其他,44210000,0,0,2026,3,44
10593|8|0,10593,8,0,代码 10593（PT8/TS0）,周,其他,105930000,0,0,2026,3,44
10595|8|0,10595,8,0,代码 10595（PT8/TS0）,周,其他,105950000,0,0,2026,3,44
5486|8|0,5486,8,0,代码 5486（PT8/TS0）,周,其他,54860000,0,0,2026,3,44
10597|8|0,10597,8,0,代码 10597（PT8/TS0）,周,其他,105970000,0,0,2026,3,44
